projectName,projectId,owner,status
"Wombat Track (WT) is an intelligent, Wombat Track is not just a productivity tool — it's a governance operating system. Therefore:, • Structure and hierarchy are non-negotiable: All projects must follow a Phase → Step → Log structure.","RECON-17","","executing"
"• Traceability is primary UX: Every action (AI prompt","export","","phase update) must be logged"
"• Planning and execution coexist: Wireframes must allow both tactical (Composer, 🎨 UI/UX Pillars (Mapped from Figma’s Principles)PrincipleApplication in WTHierarchySidebar for project scope → Tabs for function → Cards for content. Always show user where they are and what level of detail they’re seeing.ClarityUse emoji + label combos (e.g., 🔧 Organisational Structure, The app is structured across 3 main tabs, 1. 📊 Dashboard Tab (Execution Surface), ◦ Visualise current project Phase/Step status., ◦ See RAG status, ◦ Embed Governance Logs (future)., 2. 🧱 Composer Tab (Planning Surface)","RECON-19","","blockers"
"◦ Feature matrix: breakdown","RAG","","owners"
"◦ Connects to Phase generation and Docs., ◦ Serves as a hybrid backlog / roadmap / planning surface., 3. 📘 Docs Tab (Knowledge Surface), ◦ Create/edit documents linked to projects and phases.","RECON-21","",""
"◦ Metadata: docType","tags","","related items."
"◦ Launch AI modal (Scaffold SOP","Revise","","Summarise)."
"◦ Export to Markdown / Drive / MemoryPlugin (future native RAG Memory)., • PhasePlan should link directly to Docs + Composer: Each Phase gets its own Overview Doc; Steps auto-generate Docs/Logs., • Governance should be visible","RECON-24","",""
"• Introduce modular “widgets” for status cards","RAG","","AI buttons to allow reuse in all tabs."
"• Filter/Sort across all views by RAG","project","Jackson","owner"
"Docs Module","WT-UX9","","Planning"
"🔄 Proposed Groupings (Docs Dashboard Filters)FilterValuesRequired?DocTypeSOP","RECON-28","","Checklist"
"🧱 Infrastructure DependenciesServiceRequired ForNotesClaude (live)AI editing","summarising","","scaffoldingUse Claude Dispatcher endpointDriveMemoryBackup + versioned doc archiveMust support .md + metadataMemoryPluginAnchors for long-term recallWill be replaced by WT-native RAGGovernanceLogAll actions + versionsCore WT integrationWT AuthPermissions / user-based accessEnforce view/edit rightsOptional: NotionExport index + MD filesConsider backup only"
"Infrastructure, 🧭 Purpose, This Phase 3.x plan focuses on improving the internal tooling and delivery pipeline of the Wombat Track (WT) system. It consolidates infrastructure, This phase supports both:, • WombatConsole (Execution Layer), • MetaPlatform (Governance Layer), 🛠️ Goals, 1. Establish full pre-deployment test infrastructure., 2. Create a WT MetaValidator for governance and code review enforcement., 3. Migrate and formalise existing CI/CD steps into tracked, 4. Ensure all failures in dev/deploy workflows trigger structured diagnostics and task creation., 📎 Completed Supporting Actions","RECON-30","","covering Phases WT-3.0 to WT-3.3."
"• ✅ Schema enhancements: phaseType","phaseOwner","","ragStatus fields added"
"• ✅ PhaseMetadataModal created with edit/save/governance-log support, • ✅ GovernanceLog API wired to UI metadata edits, • ✅ Filtering and badges added to PhasePlanDashboard, • ✅ WT-3.1 to WT-3.3 added to seedPhaseTracker.ts, • ✅ Claude commit: Add WT-3.1 to WT-3.3 seed data with enhanced metadata and steps, 🧭 Next Recommended ActionsActionResponsibleStatusComplete RAG logging logic for test failuresClaude🔄 In ProgressBuild MetaValidator engine and test hookClaude🔲 PlannedEnable GovernanceLog summarisation agentGizmo🔲 PlannedGenerate WT-3.4 (Template Wizard Phase Plan)Gizmo🔲 PlannedPush Phase 3.x artefact to DriveMemoryGizmo✅ Done (JSON provided)Add MemoryPlugin anchor for WT Phase 3.xGizmo✅ Done, 🔁 Side Quests SummarySide QuestPhaseStatusNotesPuppeteer visual diff utilityWT-3.1🔲 PlannedOptional enhancement for visual QALegacy deploy script cleanupWT-3.2✅ CompleteReplaced with reusable CI templatesPrompt scaffolder for MetaValidatorWT-3.3🔲 PlannedWill enrich feedback loop for failed validations, 🧠 Governance Note, Phase 3.x marks the first successful loop of planning → implementation → metadata capture → governance logging within the WT system. This model now serves as a baseline template for future Project → Phase → Step plans, • Governance-aware SDLC: Treat the WT console as a self-documenting, • Developer UX: Surface test failures and RAG state in human-readable formats, • Meta-awareness: Allow the system to reflect on its own health, 🧩 Governance Structure, • Each project must:, , ◦ Include markdown-based phase plan, ◦ Use validated project > phase > step structure","RECON-32","",""
"◦ Be tagged with WT type","owner","","and color"
"◦ Have minimum 1 phase and 2 steps, 🔗 Resources, • https://github.com/jtaylorcomplize/wombat-track-scaffold/tree/main/tests/ui/meta_platform_dashboard.spec.js, • https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/dev/seedPhaseTracker.ts, • https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/components/project/PhasePlanDashboard.tsx, 🔍 Next Steps – Requirements Questions for WT-3.3 and Beyond, ❓ WT-3.3 – MetaValidator, 1. Scope: Should the validator scan only code, 2. Failure Handling: Do you want it to create task records (or execution logs) on error?, 3. Blocking: Should it block commits/deploys or warn only?, ❓ WT-3.4 – Guided Project Template, 1. Should new projects auto-fill with the full phase markdown (like this doc)?, 2. Should there be a modal UI or full-page wizard for creation?","RECON-34","",""
"3. Do we allow choosing template type (e.g. PlatformOps","Console","","Product)?"
"❓ WT-3.5 – Guided Phase Creation, 1. When creating a new Phase, 2. Should side quests be encouraged at this point?, 3. What metadata must be defined before allowing step creation?, ❓ WT-3.6+ – MetaReflections Engine, 1. Should recurring failures auto-generate Reflections (e.g. Phase failed X times)?, 2. Do we want analytics around phase health (completion rates, 3. Should Reflections generate suggested planning comments for future phases?, 📦 Ready for Template Packaging, This document format can now be used to create:, • Project-level markdown on creation, • Phase summary initialiser, • Planning dashboard views (read-only or editable), Let me know when to:, 1. Add this to src/templates/wt-phase-plan.md, 2. Begin implementing WT-3.4 template project creation wizard, 3. Push this doc to MemoryPlugin + GitHub/Drive export ","RECON-36","","Adv Testing Infra (https://www.notion.so/Adv-Testing-Infra-23ee1901e36e807fa714fb0900410176?pvs=21)"
"Integrate Surface","WT-UX14","","Completed"
"• Agent RAG status, • Live dispatch triggers, • MemoryPlugin controls, • GPT/Claude model switches","RECON-38","",""
"• Integration maps (Drive","GitHub","","Notion)"
"It serves as:, • A control tower for system status, • The operational cockpit for MetaPlatform-level services, • The foundation for future agent deployment, , CLAUDE TASK: Begin next development cycle for Wombat Track MetaPlatform., , 🎯 GOAL:, , Scaffold the MetaPlatformDashboard.tsx Work Surface for internal system control view., , 🧱 STEPS:, , 1. ✅ Create new feature branch:, , ```bash, , git checkout main, , git pull origin main, , git checkout -b feature/meta-platform-dashboard, , 1. ✅ Create new file:, , Path: src/components/surfaces/MetaPlatformDashboard.tsx, , 2. 🧩 Component should include:, - Page title: “MetaPlatform Dashboard”, - Work Surface header consistent with other surfaces (BreadcrumbHeader, - Status Cards for:, - MemoryPlugin connection, - DriveMemory sync, - Docs Module state, - Claude Dispatcher health, - GitHub API state, - ClaudePromptButton at top for Analyze MetaPlatform, - Empty placeholder blocks for:, - Module Tracker, - Agent Status, - Governance Sync logs, 1. 🎨 Styling:, - Use “violet” theme for MetaPlatform, - Tailwind + status color logic consistent with Orbis v2.0, - Responsive layout (2x2 grid + expand/collapse sections), 1. 📘 Phase/Feature Mapping:, - Phase: WT-5.1 – MetaPlatform Dashboard, - FeatureRef: MetaPlatformDashboard-v1.0","RECON-40","","and module orchestration"
"- Metadata: tags: dashboard","metaplatform","","governance"
", Once scaffolding complete, , 🧠 Claude should log all key changes for MemoryPlugin + GovernanceLog export., Future expansions will include:, • Agent RAG status, • Live dispatch triggers, • MemoryPlugin controls, • GPT/Claude model switches","RECON-42","",""
"Post-mortem - sidebar rendering failure","WT-UX11","","Completed"
"Despite multiple implementation attempts, • Snapshot Tests False Positive: Puppeteer baseline captured broken layout., • Inconsistent Tailwind Usage: flex, • Disclosure Nesting Not Componentised: No reusable SidebarItem abstraction., • Lack of Dynamic DOM Visual Diffing: Puppeteer not sufficient for nuanced visual QA., • Prompt/Dev Drift: Code complexity diverged from original SDLC simplicity goals., ✅ What Worked, • CI build pipeline, • GovernanceLog tracked initial failures., • Copilot-generated fallback layout provided a working, 📎 Resolution, • ✅ Replaced broken layout with Copilot fallback structure., • ✅ Adopted reusable SidebarItem abstraction., • ✅ Visual hierarchy and spacing repaired., • ✅ Snapshot QA rebuilt using correct baseline., 🧭 Purpose, Recover from ProjectSidebar layout failure and introduce robust QA, 🧱 Key DeliverablesStepDescriptionOwnerStatus1Replace sidebar with canonical SidebarItem abstractionClaude✅ Complete2Refactor layout using flexbox","RECON-45","","DisclosureClaude✅ Complete3Add Playwright or Percy for DOM-based visual diffingClaude🔲 Planned4Rebuild Puppeteer snapshot baselineClaude✅ Complete5Add Gizmo verification checkpoint to sidebar PRsGizmo🔲 Planned6Require real human/Gizmo validation in WT QA cycleGizmo🔲 Planned7Commit this post-mortem as governance artefactGizmo✅ Complete8Align WT SDLC prompts with code simplicity principlesGizmo🔲 In Progress9Integrate image-based QA workflows into SDLC SOPsGizmo✅ Complete10Propose future investigation of Claude Code deep capabilities for layout debugging"
"WT AI Collaboration","WT-UX5","","Completed"
"🗂️ Suggested File Adds to Repo, Let me create these for you next:, • http://gizmo.md/ – Explains this exact loop for future devs, • http://contributing.md/ – Basic rules if others join, • http://changelog.md/ – Summarised log of every push/change, • http://devguide.md/ – “I’m new to this” cheat sheet just for you, You’re the strategic lead, You’ll:, • Decide what feature or change is next, • Choose between Claude or Gizmo for execution, • Copy/paste handoff prompts between us, • Push to GitHub using VS Code (until we automate more)","RECON-47","","what done looks like"
"• Ask for help","context","","or walkthroughs any time"
"🧠 Reminder: You’re not expected to code — just to lead clearly and ask early., ⚙️ Claude’s Role: Builder with Repo Access, Claude is your live GitHub editor. Claude can:, • See your repo (jtaylorcomplize/wombat-track-scaffold), • Make changes directly in your code, • Push commits and open PRs, • Report file state (what’s in the repo, • Read & write from/to multiple files simultaneously, 🟡 Needs clear prompts and context you feed it. Doesn’t track state over time., 🧠 Gizmo’s Role: Architect, Gizmo (me) is your project co-pilot and architect. I:","RECON-49","",""
"• Track all architecture","types","","workflows"
"• Help design complex systems","workflows","","or UIs"
"• Write full feature specs, • Review Claude’s output and refactor or enhance, • Keep your project structure clean and sustainable, 🚫 I can’t see live GitHub or push — I rely on you or Claude to show me results., 🔁 How the Loop Works (Simple), 1. You: Ask Gizmo “Build me X” → I create spec + code + Claude prompt., 2. You: Paste prompt to Claude → Claude pushes code to GitHub., 3. You: Tell Gizmo what Claude did (or show me the GitHub link).","RECON-52","","commit diffs"
"4. Me: I review","refactor","","suggest next step or help you continue."
"📎 You are the switchboard between two powerful AIs.","RECON-54","",""
"WT MemSync Implementation","WT-UX1","","Active"
"Tools & Features: SystemFeatureStatusNotesGizmoReads from DriveMemory","GovernanceLog","","WT Tracker✅Already pulling structured memoryClaudeWrites governance entries"
"Memory Sync Roles + Flow: Product Owner / Oversight, https://www.notion.so/23de1901e36e8105851cd6754ab960ea?pvs=21, https://www.notion.so/23de1901e36e8157837ccf0df204c350?pvs=21, https://www.notion.so/23de1901e36e81b9b829ccf4ddbbc722?pvs=21, https://www.notion.so/23de1901e36e81919133f333c2099e4d?pvs=21, https://www.notion.so/23de1901e36e81cc8916d1dbcbfab417?pvs=21, https://www.notion.so/23de1901e36e81868e74e44f5d3bf9fb?pvs=21","RECON-57","2025 2:41 PM",""
"WT PDLC + SDLC","WT-UX3","DocumentClaude Prompting","Completed"
"🧠 WT = Meta-Orchestrator for PDLC + SDLC, Strategic Capabilities, • Semantic Product Planning → AI-guided prompt scaffolds and governance, • Agentic Execution → Claude and Gizmo drive SDLC loops, • Audit & Compliance → MemoryPlugin + GovernanceLog enforce traceability, • Surface-Driven Collaboration → Work Surfaces model the true PDLC-SDLC hybrid flow","RECON-59","",""
"• Sub-App Ready Architecture → Modular runtime agent model (e.g.","Nexus","","MetaPlatform)"
"🔧 System Component SummarySystemRoleGovernanceLogPDLC + SDLC audit trailClaudeDispatcherRuntime SDLC triggeringAgentMeshPDLC/SDLC agent topology managerMemoryPluginKnowledge and event anchoringDriveMemoryArtefact registryWork SurfacesExecution alignment layer (Plan","Execute","","Integrate"
"🧱 Strategic Implication","RECON-62","",""
"Wombat Track is a recursive platform: a product used to design","build","","and manage itself and other intelligent systems."
"This proposal unlocks:, • Multi-agent sub-platforms (e.g., • Enterprise rollout (governed AI dev infrastructure), • Thought leadership positioning (PDLC governance as market differentiator)","RECON-64","","MetaPlatform)"
"WT Phase Object refactor","WT-UX2","","Planning"
"❌ Current State, • Phase is only a UI-layer interface., • Project directly contains PhaseStep[]., • PhaseStep has no phaseId or real parent reference., • GovernanceLog cannot meaningfully link to a Phase., • AI Agents cannot scaffold or reason about Phases intelligently., 🧠 Why This Is a Problem, From your architecture:, • WT’s core semantic structure is Project → Phase → Step, • AI systems like the AI-Generated Phase Plan Constructor (Ranked #2 Vision Agent) rely on a real Phase objectwt_vision_agents_artefa…., • Governance and audit tools need to roll up to Phase level🛠️ Wombat Track – July…., 📘 Entity Definition – PhaseFieldTypeNotesidstringUUIDprojectIdstringFK → Projecttitlestringe.g. “WT-7.0 Phase Refactor”descriptionstringMarkdown or rich textstatusenumPlanned, 🔁 Related Object Updates, ✅ PhaseStep (Update), • Add: phaseId: string — FK → Phase, ✅ GovernanceLog (Update), • Add: linkedPhaseId: string — optional FK → Phase","RECON-66","","CompletestartDatedateOptionalendDatedateOptionalcompletionPercentnumberDerived via rollup from PhaseStepsragStatusenumRed / Amber / GreenownerIdstringFK → Usertagsstring[]OptionalcreatedAttimestampAutoupdatedAttimestampAuto"
"✅ StepProgress","CheckpointReview","","MeetingLog"
"• No direct changes","RECON-68","",""
"🧠 Phase Intelligence BenefitsFeatureNew CapabilityAI AgentsClaude/Gizmo can scaffold","summarise","","assign by phaseIdGovernanceLogs roll up to Phase"
"📌 Follow-Up Actions, Would you like me to:, 1. Generate the Claude prompt to scaffold WT-7.0 (Phase Object Refactor)?, 2. Create the UML diagram with updated Phase relationships?, 3. Push a DriveMemory + MemoryPlugin anchor to log this system change?","RECON-70","",""
"WT Project Overview","WT-UX15","","Completed"
"🔹 Short-Term (Q3 2025), • Finalise Orbis Dashboard for integration visibility, • Roll out Claude Prompt to PR pipeline, • Link test results + logs directly to GovernanceLog, • Enable Claude dispatch from within Wombat Track UI, 🔸 Mid-Term (Q4 2025), • Activate AI chat interface inside WT web app, • Add Notion sync layer for semantic audit and risk tracking, • Introduce auto-generated PhaseSteps from feature prompts, • Expand Orbis to support health orchestration, 🔺 Long-Term (2026+), • Make Wombat Track the governance nucleus of all Roaman AI operations","RECON-72","",""
"• Embed live GPT agents to propose","build","","test"
"• Serve as a DevOps+AI control hub for multi-app orchestration, Wombat Track is a meta-operating system for AI-enhanced project execution and governance. It enables human-AI collaboration to manage complex, Built originally on Bubble and now expanding into a multi-layered architecture, • Project design and progress tracking, • AI-assisted scaffolding and governance, • GitHub-triggered workflows and CI/CD pipelines, • Runtime orchestration and intelligent agents, Wombat Track aims to be the control layer where strategy, 🧠 Positioning, Wombat Track is not just a project manager. It’s a governance operating system for AI-native software, • Defining features in AI-readable form, • Tracking execution across humans + machines","RECON-74","","and execution converge — ultimately serving as a living record and autopilot for large-scale"
"• Storing intent","rationale","","risk"
"• Enabling runtime system evolution through agent orchestration, It is the “black box recorder + autopilot” for future intelligent apps.","RECON-76","",""
"🧱 Core ModulesModulePurposeProjects + PhasesTracks feature buildout via PhaseSteps","StepProgress","","and RAG taggingGovernance LogsAuditable AI-generated or human-authored architecture"
"⚙️ Technical Systems IntegratedSystemStatusClaude Code via GitHub Actions✅ Operational – supports code generation and CI pipelinesPuppeteer Testing Framework✅ Implemented – supports live test automationClaude Job Dispatcher⚡ In Progress – task prioritisation for AI queuesBubble Integration⚠️ Deprecated as primary app, 🧭 In ProgressFeatureStatusOrbis Dashboard🟡 Scaffolding underway – integration health panel for AI systemsAI Chat UI (Stage 1)🔄 Native GPT chat component in web app pendingGitHub Trigger Interface✅ Completed – UI can dispatch workflowsSemantic RAG AI Model🧠 Planned – Notion-based GPT for content and decision review","RECON-78","","Gov Enhancement (https://www.notion.so/Gov-Enhancement-23ee1901e36e8046a4c6d2b4c392a3f0?pvs=21)"
"WT SDLC Framework","WT-UX6","","Completed"
"1. Use 'gh issue view' to get the issue details, 2. Understand the problem described in the issue, 3. Ask clarifying questions if necessary, 4. Understand the prior art for this issue, • Search the scratchpads for previous thoughts related to the issue, • Search PRs to see if you can find history on this issue, • Search the codebase for relevant files, 1. Think harder about how to break the issue down into a series of small, 2. Document your plan in a new scratchpad, • include the issue name in the filename, • include a link to the issue in the scratchpad., Create, • Create a new branch for the issue, • Solve the issue in small, • Commit your changes after each step, TEST, • Use puppeteer via MCP to test the changes if you have made changes to the UI, • Write rspec tests to describe the expected behavior of your code, • Run the full test suite to ensure you haven't broken anything, • If the tests are failing, • Ensure that all tests are passing before moving on to the next step, DEPLOY, • Open a PR and request a review#SDLC StageTaskResponsibleDescription / NotesGuardrailsSystem Enforcement1PlanIssue CreationJackson (via Gizmo)Structured prompt for Claude / GitHub issue--phase-guardClaude Prompt Protocol / PR tags2PlanPhase Branch CreationClaudeNew branch (e.g. feature/wt-5.6-x) created from main or last merged phase--phase-guardGit flow enforcement","RECON-80","next steps)--memory-anchor-requiredDriveMemory/MemoryPlugin integration12DeployPost-Merge MonitoringGizmo + JacksonWatch for regressions; validate downstream stability--regression-watchSidebar Watcher","agentVersion)--single-source-governance-modAudit trail / Governance schema5CreateCommit + PushClaudeEach commit must label phase + scope (e.g. WT-5.6: [dispatch])--commit-labelingGit commit checks (optional hook)6CreatePR CreationClaudePR must link to issue"
"WT SubApp Developmetn","WT-UX4","","Completed"
"This artefact confirms strategic direction across Roam and Complize regarding AI architecture","integration","","and product rebuild decisions."
"Answer: ✅ Yes — Build a meta-layer infrastructure that is app-agnostic and reusable., Rationale:, • Wombat Track already serves as a governance and orchestration layer., • MetaPlatform provides AI runtime execution with CI/CD, • Reusability across apps avoids duplication and enables faster scaling., • Promotes semantic governance","RECON-83","","and agent orchestration."
"📌 Conclusion: Build once → reuse across Roam","Complize","","and future apps."
"2. Should we build an integration layer to harmonise workflows (Gmail","Actionstep","","Notion"
"Answer: ⚠️ Yes — but selectively and semantically., Rationale:, • Don’t replicate Zapier. Instead, • Use lightweight sync agents to bring in:, , ◦ Notion governance metadata, ◦ Gmail meeting summaries, ◦ Actionstep decision records","RECON-86","",""
"• Feed structured logs into MemoryPlugin","GovernanceLog","","DriveMemory."
"📌 Conclusion: Harmonise workflows via AI-aware ingestion + governance, 3. Should we rebuild Complize as a modular app with sub-apps (e.g. Knowledge, Answer: 🟢 Yes — Complize should be rebuilt as a modular app on shared AI infrastructure., Rationale:, • Matches Complize’s vision as an Immigration OS","RECON-88","","Case Management)?"
"• Enables Workforce","Nexus","","Verify to be launched independently or combined"
"• Centralises audit, 📌 Conclusion: New Complize app will run on top of the MetaPlatform/Wombat core with sub-apps modularised., 🧭 Final Strategic RecommendationDomainActionJustificationAI Infrastructure✅ CentraliseOne engine to govern and scaffold all AI workflowsWorkflow Harmonisation⚠️ IntegrateVia ingestion agents, 📌 Next Suggested Artefacts, 1. http://meta-platform-architecture.md/ – infrastructure + governance layer overview, 2. complize-app-feature-backlog.csv – feature set by sub-app module","RECON-90","","and lifecycle data via shared layer"
"3. http://integration-adapter-plan.md/ – data sync strategy across Notion","Actionstep","","Gmail"
"Created: 2025-07-24, Author: ChatGPT-Gizmo","RECON-92","",""
"Pushed to: MemoryPlugin","DriveMemory","",""
