field_name,display_name,data_type,description,validation_rules,business_definition,source_system,calculation_logic
monthly_billings,Monthly Billings,decimal,Total monthly billings,">= 0, max 12 digits",Total amount billed by fee earner in the month,ACTIONSTEP,sum(time_entry.billable_amount) for month
realization_rate,Realization Rate,decimal,Percentage of time entries collected,"0-100, 2 decimal places",Percentage of billed time that has been collected,ACTIONSTEP,collected_amount / billed_amount * 100
client_origination,Client Origination,integer,Number of clients originated,">= 0",Count of new clients brought in by the fee earner,ACTIONSTEP,count(distinct client_id) where originating_partner = fee_earner_id
budgeted_amount,Budgeted Amount,decimal,Budgeted amount for matter,"> 0, max 12 digits",Approved budget amount for the legal matter,ACTIONSTEP,matter_budget.budgeted_amount
actual_amount,Actual Amount,decimal,Actual amount spent on matter,">= 0, max 12 digits",Actual amount of fees and costs incurred for matter,ACTIONSTEP,sum(time_entries.amount) + sum(disbursements.amount)
variance_percentage,Variance %,decimal,Budget variance percentage,"-100 to unlimited, 2 decimal places",Percentage difference between actual and budgeted amounts,ACTIONSTEP,(actual_amount - budgeted_amount) / budgeted_amount * 100
budget_status,Budget Status,string,Status relative to budget,"one of predefined statuses",Indicator of whether matter is over or under budget,ACTIONSTEP,calculated based on variance_percentage
disbursement_id,Disbursement ID,string,Unique identifier for disbursement,"alphanumeric, max 20 chars",Unique identifier for expense or disbursement record,ACTIONSTEP,disbursement.disbursement_id
disbursement_amount,Disbursement Amount,decimal,Amount of disbursement,"> 0, max 10 digits",Monetary amount of the expense or disbursement,ACTIONSTEP,disbursement.amount
disbursement_type,Disbursement Type,string,Type of disbursement,"one of predefined types",Category or type of expense incurred,ACTIONSTEP,disbursement.disbursement_type
reimbursement_status,Reimbursement Status,string,Status of reimbursement,"one of predefined statuses",Current status of expense reimbursement process,ACTIONSTEP,disbursement.reimbursement_status
revenue_amount,Revenue Amount,decimal,Total revenue amount,"> 0, max 12 digits",Total revenue generated from practice area,ACTIONSTEP,sum(invoice.total_amount) where status = 'paid'
avg_matter_value,Average Matter Value,decimal,Average value per matter,">= 0, max 12 digits",Average revenue generated per matter in practice area,ACTIONSTEP,total_revenue / matter_count
growth_rate,Growth Rate,decimal,Revenue growth rate percentage,"-100 to unlimited, 2 decimal places",Year-over-year growth rate for practice area revenue,ACTIONSTEP,(current_year_revenue - prior_year_revenue) / prior_year_revenue * 100
satisfaction_score,Satisfaction Score,decimal,Client satisfaction rating,"1-10, 2 decimal places",Client satisfaction score from surveys and feedback,ACTIONSTEP,avg(client_survey.satisfaction_rating)
survey_date,Survey Date,date,Date of satisfaction survey,"format: YYYY-MM-DD, not future date",Calendar date when client satisfaction survey was conducted,ACTIONSTEP,client_survey.survey_date
feedback_category,Feedback Category,string,Category of client feedback,"one of predefined categories",Classification of the type of client feedback received,ACTIONSTEP,client_survey.feedback_category
