phasename,phaseid,WT Projects,status,notes,startDate,endDate,RAG
• Modular UI “ingots” that combine into features,,,,,,,
🔤 Logo Direction:,,,,,,,
• Wordmark with flare accents on “F”,,,,,,,
• Symbol: Anvil + Orbit,or “O” encircling a flame glyph,,,,,,
• Font: Sturdy but refined — consider Degular,Neue Haas,,,,,,Founders Grotesk
🔁 3. Orbis Loop (Honourable Mention),,,,,,,
“I am a strange loop.”,,,,,,,
,,,,,,,
A self-observing system. Less grounded than Core or Forge,but poetic and AI-native.,,,,,,
Could be used as a product or feature name later (e.g.,Orbis Loop: Lifecycle Autopilot),,,,,,
🧬 SHARED DESIGN SYSTEM ELEMENTS (All Variants),,,,,,,
🧠 Voice & Language:ElementStyleCopyControlled,system-aware,“Core threads” (Core),,,,,semanticTonePrecision with calm clarityAgents“Forged intelligence” (Forge)
🎨 Shared Color FoundationRoleColorBackground#0C0C0E (Obsidian Black)Accent A#D77B28 (Copper Ember – Forge)Accent B#1C5D99 (Nebula Blue – Core)Surface#F2F0E6 (Lumen Cream)Status#3FB8AF (Signal Teal)Trace Layer#B3B6B7 (Orbit Gray),,,,,,,
🧩 Shared UI Concepts,,,,,,,
• Governance Thread View → Like metal wire drawn through structure,,,,,,,
• Prompt Console = Foundry Surface (Forge) or Semantic Kernel (Core),,,,,,,
• Visual Tags = alloy tokens / stackable schema,,,,,,,
• Runtime Indicators = heat map (Forge) or pulse ring (Core),,,,,,,
🏁 Summary & Next Step OptionsNameSymbolismToneFuture SimplicityStrong Use CasesOrbis CoreNucleus,self-governing loopElegant,governance platformOrbis ForgeTransformation,,founder-friendly✅ Iconic as Forge → OrbisTooling,dev infra,AI smithingCreative,systemic✅ Easily collapses to OrbisOS
Orbis Design,Orb-1.1,WT-UX12,,🌌 ORBIS BRAND CONCEPT EVOLUTIONS,,,
🔵 1. Orbis Core,,,,,,,
“The center of intelligent systems.”,,,,,,,
,,,,,,,
Circular,recursive,memory,,and system orchestration.,,AI interaction,fundamental. This name embodies the philosophical nucleus of Orbis — a semantic engine driving governance
✴️ Core Themes:,,,,,,,
• Cognition loops (Hofstadter’s “Strange Loop”),,,,,,,
• Autopoiesis — systems that regenerate themselves,,,,,,,
• Governance kernel — a semantic OS at the heart of digital infrastructure,,,,,,,
• Circular logic → Rational coherence → Auditability,,,,,,,
🌈 Visual Mood:,,,,,,,
• Minimalist,high-contrast,,,,,,
• Monoline circle glyphs / stacked concentric rings,,,,,,,
• Echoes of operating system boot loaders or schematic cores,,,,,,,
🔤 Logo Direction:,,,,,,,
• Stylised “O” with pulsing center,,,,,,,
• Typography: geometric sans (e.g.,Space Grotesk / Inter / Satoshi),,,,,,
• Variant: 0rbis Core (logo glyph only),,,,,,,
🔥 2. Orbis Forge,,,,,,,
“The intelligence foundry.”,,,,,,,
,,,,,,,
Symbolic of both heat and transformation,Forge reflects a platform where AI and human intent co-create new systems. It's not passive — it’s molten,,,,,,shaping intelligence like ancient smiths shaped metal.
✴️ Core Themes:,,,,,,,
• Techno-alchemy — crafting AI tools from raw prompts and system intent,,,,,,,
• Industrial → Digital revolution parallel,,,,,,,
• Agentic systems forged into tools,protocols,,,,,,workflows
• Signals to founders,builders,,,,,,and creators
🌈 Visual Mood:,,,,,,,
• Warm copper / forged steel tones,,,,,,,
• Hammer-and-spark motifs,,,,,,,
• Glowing ember or furnace-core visuals,,,,,,,
• Modular UI “ingots” that combine into features,,,,,,,
🔤 Logo Direction:,,,,,,,
• Wordmark with flare accents on “F”,,,,,,,
• Symbol: Anvil + Orbit,or “O” encircling a flame glyph,,,,,,
• Font: Sturdy but refined — consider Degular,Neue Haas,,,,,,Founders Grotesk
🔁 3. Orbis Loop (Honourable Mention),,,,,,,
“I am a strange loop.”,,,,,,,
,,,,,,,
A self-observing system. Less grounded than Core or Forge,but poetic and AI-native.,,,,,,
Could be used as a product or feature name later (e.g.,Orbis Loop: Lifecycle Autopilot),,,,,,
🧬 SHARED DESIGN SYSTEM ELEMENTS (All Variants),,,,,,,
🧠 Voice & Language:ElementStyleCopyControlled,system-aware,“Core threads” (Core),,,,,semanticTonePrecision with calm clarityAgents“Forged intelligence” (Forge)
🎨 Shared Color FoundationRoleColorBackground#0C0C0E (Obsidian Black)Accent A#D77B28 (Copper Ember – Forge)Accent B#1C5D99 (Nebula Blue – Core)Surface#F2F0E6 (Lumen Cream)Status#3FB8AF (Signal Teal)Trace Layer#B3B6B7 (Orbit Gray),,,,,,,
🧩 Shared UI Concepts,,,,,,,
• Governance Thread View → Like metal wire drawn through structure,,,,,,,
• Prompt Console = Foundry Surface (Forge) or Semantic Kernel (Core),,,,,,,
• Visual Tags = alloy tokens / stackable schema,,,,,,,
• Runtime Indicators = heat map (Forge) or pulse ring (Core),,,,,,,
🏁 Summary & Next Step OptionsNameSymbolismToneFuture SimplicityStrong Use CasesOrbis CoreNucleus,self-governing loopElegant,governance platformOrbis ForgeTransformation,,founder-friendly✅ Iconic as Forge → OrbisTooling,dev infra,AI smithingCreative,systemic✅ Easily collapses to OrbisOS
Doc Module Enhancements,DM-1.1,WT-UX9,Template,Feature EnhancementsPage / LocationComponentActionIntegrationStatusNotesDocsEditor.tsxClaude DispatcherReplace mock AI with live Claude endpoint✅ Claude🔜 To implementUse dispatchClaude(promptType,.json export optionsNone✅ Markdown doneAdd format toggle buttonsDocsEditor.tsxClaude Prompt TemplatesCentralise reusable GPT prompt libraryWT Claude Dispatcher🔜 PhaseSteps + Docs use same promptsDocsEditor.tsxSave IndicatorsAdd persistent toast or log on successful saveNone✅ Basic save indicator presentEnhance visibilityDocsEditor.tsxAI Suggest → GovernanceLogAuto-log AI summaries directly on usageWT Internal🔜 Stubbed in placeConfirm logging schema 🔍 Metadata Schema Audit — DocsEntryFieldTypeSourceCompletionNotestitlestringUser input✅docTypeenumDropdown (SOP,,
🔄 Proposed Groupings (Docs Dashboard Filters)FilterValuesRequired?DocTypeSOP,Project Spec,Template✅ProjectAll WT projects✅PhaseLinked phases✅FeatureComposer features✅TagsCustom tags🧪,,,,,Checklist
🧱 Infrastructure DependenciesServiceRequired ForNotesClaude (live)AI editing,summarising,WT-UX9,,Planned,,,scaffoldingUse Claude Dispatcher endpointDriveMemoryBackup + versioned doc archiveMust support .md + metadataMemoryPluginAnchors for long-term recallWill be replaced by WT-native RAGGovernanceLogAll actions + versionsCore WT integrationWT AuthPermissions / user-based accessEnforce view/edit rightsOptional: NotionExport index + MD filesConsider backup only
Doc Module Implementation,DM-1.0,WT-UX9,Planned,,,,
MetaValidator Sys,WT-3.3,Infrastructure,,,,CI/CD (https://www.notion.so/Infrastructure-CI-CD-23de1901e36e80cdae85dc296ceea755?pvs=21),
Status: 🔵 Planned Objective: Build CLI and CI-integrated validator to enforce governance compliance in project metadata and structure,,,,,,,
Key Steps (Planned):,,,,,,,
1. 🔲 Build Validator Engine (WTMetaValidator.ts),,,,,,,
2. 🔲 Add rules for markdown,step counts,,,,,,RAG enforcement
3. 🔲 Hook into CI pipeline or Git pre-push,,,,,,,
4. 🔲 Post failures to ExecutionLog with suggested backlog tasks,,,,,,,
Side Quest (Planned):,,,,,,,
• Create reusable prompt scaffolder for validator errors,WP-UX9,2000,,Infrastructure,,Done,January 1
CI/CD Pipeline Mig,WT-3.2,Infrastructure,,,,CI/CD (https://www.notion.so/Infrastructure-CI-CD-23de1901e36e80cdae85dc296ceea755?pvs=21),
Status: ✅ Complete Objective: Formalise deployment workflow with rollback,governance logging,,,,,,and CI validation
Key Steps:,,,,,,,
1. ✅ Create reusable CI pipeline (ci.yml,deploy.yml),,,,,,
2. ✅ Configure deploy + rollback,,,,,,,
3. ✅ Add structured governance hooks,,,,,,,
4. ✅ Integrate RAG signals post-deploy,,,,,,,
Side Quest (Complete):,,,,,,,
• Claude refactor of legacy deploy scripts and log writers,WP-UX10,2000,,Infrastructure,,Planned,January 1
Adv Testing Infra,WT-3.1 ,Infrastructure,,,,CI/CD (https://www.notion.so/Infrastructure-CI-CD-23de1901e36e80cdae85dc296ceea755?pvs=21),
Status: 🟡 In Progress Objective: Implement CI-integrated Puppeteer test suite with standardised coverage and logging,,,,,,,
Key Steps:,,,,,,,
1. ✅ Implement Puppeteer-based test suite (Phase Tracker,Dispatcher,,,,,,Dashboard)
2. ✅ Integrate GitHub Action test runner,,,,,,,
3. ⚠️ Standardise coverage thresholds,,,,,,,
4. ⚠️ Add failure logging + RAG dashboard visibility,,,,,,,
Side Quest (Planned):,,,,,,,
• Develop Puppeteer screenshot diff utility for visual regression,WP-UX11,2000,,Infrastructure,,Planned,January 1
Arch Reconciliation,WT-3.0,Infrastructure,,December 1,📦 Overview,CI/CD (https://www.notion.so/Infrastructure-CI-CD-23de1901e36e80cdae85dc296ceea755?pvs=21),
This document summarizes the implementation and governance outcomes of WT Phase 3.x,covering Phases WT-3.0 to WT-3.3. The purpose of Phase 3.x is to establish robust developer infrastructure,and governance-enforced quality controls across the Wombat Track platform.,,,,,CI/CD automation
✅ Phase Breakdown,,,,,,,
WT-3.0 – Architecture Reconciliation,,,,,,,
Status: ✅ Complete Summary:,,,,,,,
• Refactored orbis-* naming to wombat-console,,,,,,,
• Unified phase hierarchy under WT naming,,,,,,,
• Enhanced UX vertical nesting: Project > Phase > Step,WP-UX12,2000,,Infrastructure,,Complete,January 1
Post-Mortem - regression analysis,PM-1.1,RECON-9,Complete,,,,
Post Mortem - rectify,PM 2.1,RECON-9,,📘 Session Summary,,,
This session surfaced and resolved critical Git integrity,sidebar recovery,,,,,,and CI build reliability issues. The robustness of these workflows is essential for the long-term viability of the MetaPlatform and Wombat Track as an AI-governed SDLC nucleus.
✅ Confirmed IssuesIDIssueImpactStatus001Sidebar commit (64a589c) was unintentionally overwrittenHigh – loss of local work and visual logic✅ Recovery complete002Direct push to main bypassed PR reviewHigh – violated SDLC safeguards🛠️ PR review policy reinforced003Git operations not guided → user uncertaintyHigh – SDLC risk for MetaPlatform✅ Gizmo now owns all Git workflows004lucide-react not installed after Claude restoreHigh – broke Vercel production build✅ Pending fix via npm install + commit005Missing CI safety check for new dependenciesMedium – future risk🔄 Pending CI enhancement006No Git pre-checkout safety scriptsMedium – context loss on branch switch🔄 Add http://wt-safe-checkout.sh/007No GovernanceLog entry for recovery eventMedium – traceability gap🔄 Pending log creation008Recovery not logged as PhaseStep in WTMedium🔄 Needs WT-5.1 entry,,,,,,,
🛠️ Fix Actions TakenActionDescription✅ Created sidebar-recovery-branchSafely restored lost logic from commit 64a589c✅ Claude selectively reintegrated sidebar UI + logicPreserved Claude scaffold,restored visual hierarchy✅ Gizmo assigned as GitOps and PR reviewerEnsures controlled merges,,,,,,version integrity✅ Full PR plan and GovernanceLog scaffold generatedSemantic traceability restored✅ Seed script generated for WT PhasePlanEnables traceable UI feature linking
🔄 Pending Fixes / ImprovementsIDFixDescriptionF001Install lucide-reactRequired for production build to succeedF002Commit + push package.json,package-lock.jsonFinalise sidebar icon fixF003Create GovernanceLog entry for sidebar recoveryCapture key decisions + traceable eventF004Update WT-5.x PhasePlan to include sidebar recoveryInclude all PhaseSteps tied to UI fixF005Add pre-checkout script (http://wt-safe-checkout.sh/)Prevents work loss when switching branchesF006Add CI rule to catch missing dependenciese.g.,,,,,,validate imports vs package.json
🧠 Optional EnhancementsEnhancementBenefitGit PR automation for ClaudeClaude commits auto-tagged,PRs generated without push to mainwt-recovery-checker.ts scriptDetect unmerged/dangling commits and prevent data lossReal-time Git/Gizmo sync layer in MetaPlatformPush/pull status updates surfaced in UIBuild-stage AI warning systemDetects missing modules or unresolved imports before deploy,,,,,,
🧭 MetaPlatform ImpactAreaRisk if UnresolvedResolution PathSDLC EnforcementMetaPlatform cannot offer true governance without Git integrity✅ Assign GitOps to Gizmo + CI rulesRuntime Build StabilityBreaks “self-healing system” promise if prod build fails silently🔄 Add automated dependency check + lock auditTrust in AI CollaborationAI agents must not bypass governance (e.g.,push to main)✅ Require PR layer with Gizmo as reviewerDeveloper ConfidenceLoss of work reduces dev velocity,,,,,,faith in automation🔄 Git pre-checkout and recovery monitoringArtefact TraceabilityMetaPlatform requires memory + log sync🔄 Log sidebar recovery + link to WT-5.1 PhaseStep
📌 Suggested Phase EntryPhaseNamePurposeWT-6.0GitOps + Runtime IntegrityImplement full guardrails for GitHub,Dev environment,,,,,,and build pipeline integrity
📂 Artefacts Generated,,,,,,,
• http://sidebar-recovery-pr-plan.md/,,,,,,,
• http://sidebar-recovery-diff-summary.md/,,,,,,,
• sidebarRecoveryPhasePlan.ts,,,,,,,
• Claude prompt for selective reintroduction,,,,,,,
• Claude prompt for lucide-react install fix,,,,,,,
• Git workflow policy (for inclusion in http://git-workflow.md/),,Complete,,,,Post-mortem - sidebar rendering failure (https://www.notion.so/Post-mortem-sidebar-rendering-failure-23ee1901e36e8000a4e2f117bb1bbfad?pvs=21),
Data Taxonomy,WP-1.2,WT-UX1,,Tag data using structured taxonomy,,,
https://www.notion.so/23de1901e36e8137a195dad4fc3c2969?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e81ae9c9fcdf031dc5d46?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e81209f7be82646197560?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e81ca8353c8b78687ea31?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e8138ac74f21f38df3755?pvs=21,WP-UX2,2000,,WT MemSync Implementation (https://www.notion.so/WT-MemSync-Implementation-23ee1901e36e800bb279c50c177e4e2a?pvs=21),,Active,January 1
Agent Protocol Sync,WP-1.4,WT-UX1,,🤝 Define Message Types,,,
https://www.notion.so/23ce1901e36e80b980e3de9693a794a2?pvs=21,,,,,,,
https://www.notion.so/23ce1901e36e800092b8dea9bd01d4fa?pvs=21,,,,,,,
https://www.notion.so/23ce1901e36e80f9b926e811585a0a47?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e81f19354f40da684c301?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e8109b38ff1089b8ae018?pvs=21,WP-UX4,2000,,WT MemSync Implementation (https://www.notion.so/WT-MemSync-Implementation-23ee1901e36e800bb279c50c177e4e2a?pvs=21),,Active,January 1
Memory Push,WP-1.6,WT-UX1,,# 💽Unstructured Data,,,
,,,,,,,
https://www.notion.so/23de1901e36e8046a103de4a184d48a7?pvs=21https://www.notion.so/23de1901e36e80508edee2e0ecc105d3?pvs=21https://www.notion.so/23de1901e36e80218c31c5284c2fbf9c?pvs=21https://www.notion.so/23de1901e36e8024a138dabd27edd421?pvs=21https://www.notion.so/23de1901e36e800d81a7f6f5c62022b6?pvs=21https://www.notion.so/23de1901e36e8126bd71f9c49b6af071?pvs=21https://www.notion.so/23de1901e36e81859deec1a52fb6c958?pvs=21https://www.notion.so/23de1901e36e81fc9e6ee94fc3b8e926?pvs=21,WP-UX6,2000,,WT MemSync Implementation (https://www.notion.so/WT-MemSync-Implementation-23ee1901e36e800bb279c50c177e4e2a?pvs=21),,Active,January 1
Self-governance App,WT-2.0 ,WT-UX15,,🌟 Purpose,,,
Establish Wombat Track as its own project governance and management environment — tracking the WT app’s own evolution within the WT platform.,,,,,,,
This project formalises the goal of replacing local artefacts and external documentation with WT-native project management,execution,,,,,,and governance capabilities.
🧭 Strategic Goal,,,,,,,
Migrate all planning,execution,and governance activities of the WT app into the WT platform itself.,,,,,documentation
Wombat Track must be used to manage Wombat Track.,,,,,,,
📘 Project SummaryElementDescriptionProject NameWT Self-Managed App MigrationLeadGizmo (AI) + JacksonStart Date2025-07-25Status🟡 In ProgressGovernanceLog RefSelf-Management Initiative (Proposal + Phase Logs),,,,,,,
🧠 Governance Hooks,,,,,,,
• Proposal: WT should manage itself.,,,,,,,
• Decisions: Logged at each project intake and schema change.,,,,,,,
• Changes: Linked to data model PRs.,,,,,,,
• Reviews: Every feature must have its own GovernanceLog.,,,,,,,
🛡️ Integrity Requirements,,,,,,,
• Every WT feature/project must be traceable in WT.,,,,,,,
• No markdown-only artefacts should exist outside WT unless exported.,,,,,,,
• Claude and Gizmo must both log AI actions to GovernanceLog.,,,,,,,
✅ Blocker CheckAreaStatusNotesData Model❌ IncompleteNeeds 3 new data types + extensionsUI Surfaces⚠️ PartialMostly functional,needs richer metadata fieldsGovernance Logging✅ CompleteJust needs more usageAI Prompt Hooks✅ AvailableClaude and Gizmo ready to trigger create/import,,,,,,
🔚 Output Goals,,,,,,,
• Every active WT artefact tracked as WT project,,,,,,,
• Self-documented change history,,,,,,,
• MetaPlatform fully monitored from within WT,,,,,,,
• WT becomes a self-reflexive governance operating system,,Complete,,,,WT Project Overview (https://www.notion.so/WT-Project-Overview-23ee1901e36e80158be7f4c78cbc062b?pvs=21),
Operational Loop,WT-2.4,WT-UX15,,🚀 Phase 4: Operational LoopStepTaskOutput4.1Run future features using WT nativelyE.g.,Docs Module enhancements4.2Claude auto-generates PhasePlans and Governance entriesAI-authored entries4.3Agent Mesh manages visual layer of dependenciesRuntime visualisation4.4WT manages its own versioning and deployment logsSelf-documenting infra,,
Metaproject Activation,WT-2.3,WT-UX15,,🔁 Phase 3: MetaProject ActivationStepTaskOutput3.1Ingest current WT artefacts (Agent Mesh,etc.) as projectsWT-native planning entries3.2Rebuild GovernanceLog from markdown historyTrue WT governance archive3.3Build default dashboards for WT internal projectsView progress from within app3.4Claude prompt layer: “Scaffold as WT Project”Prompt-based self-registration,,
Gov Enhancement,WT-2.2,WT-UX15,governanceLinksUpdated Project and Phase schemas2.2Add support for CIWorkflow,🛠️ Phase 2: WT App EnhancementsStepTaskOutput2.1Add fields: techStack,repoRefs,,
Gov Analysis,WT-2.1,WT-UX15,,📍 Phases & Steps,,,
✅ Phase 1: Assessment & Gap AnalysisStepTaskOutput1.1Evaluate WT surfaces vs artefact requirementsCompatibility matrix1.2Identify missing fields for Plan,Execute,GovernStructured recommendations1.3Propose data model changesAgent,Complete,ExternalService data types1.4Confirm blockersNone beyond data model and UX additions,,AgentConnection,Document
Runtime enforcement,SDLC-2.0 ,WT-UX6,traceability enforcement✅ Required GatesPR link confirmation,🧭 Runtime Enforcement: SDLC vs PDLCAreaSDLC (Software)PDLC (Product/Project)🔄 Claude RoleScaffold & PR creationTrigger agent-based product specs🧠 Gizmo RoleMerge enforcement,CI verificationGovernance logging,,
✅ From WT-6.0 onward,all SDLC flows are runtime-enforced using this model.,January 1,,In Progress,,2000,WP-UX8
WT-8.0.1 – SDLC Visibility Layer,WP-1.1,compliance state,,Create UI surface and metadata visibility for SDLC guardrails,and technical risk score,,Green
,,,,,,,
Expected Outcome: Users and agents can query guardrails,see CI risk score,and propose mitigations,,,,,view enforcement history
,,,,,,,
Tags: sdlc-governance,oApp-migration,wt-8.0,,,,,runtime-risk
,,,,,,,
Linked DBs: wt-sdlc-visibility-spec,wt-sdlc-guardrails,,,,,,wt-tech-debt-register
,,,,,,,
Canonical: true,WP-UX1,2000,,,,Planned,January 1
RAG Dashboard + Sync,WP-1.3,,,🔒 Mark Notion as RAG Source of Truth,,,
https://www.notion.so/23de1901e36e80209fb8f912636baa3e?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e80be9bf4c2c5163bc68b?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e80c9a221ecddd1eeece5?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e8143a44cf87588bf730b?pvs=21,,,,,,,
https://www.notion.so/23de1901e36e8141ba08e61ee8fe0879?pvs=21,WP-UX3,2000,,WT MemSync Implementation (https://www.notion.so/WT-MemSync-Implementation-23ee1901e36e800bb279c50c177e4e2a?pvs=21),,Active,January 1
Agent Protocol Sync,WP-1.5,WP-UX5,2000,,January 1,,
Runtime Agent Awareness,WT-6.1,last prompt time,`lastPromptTime`,This phase enables real-time visibility into AI agent activity (Claude and Gizmo) within the Orbis UI. It includes UI enhancements to display agent status,and activity metrics. Backend tracking of `agentStatus`,,
